time,pdcsap_flux,diff_flux,scaled_diff_flux,is_flare
1517.8487409676386,2499.9043,17.72970000000032,0.3662196589405676,False
1517.8501298612996,2498.179,-1.7253000000000611,0.3382301233294759,False
1517.8515187551934,2490.4194,-7.759599999999864,0.3295486915773298,False
1517.852907649088,2495.0884,4.668999999999869,0.3474294801815961,False
1517.854296542982,2486.6118,-8.476599999999962,0.3285171574198816,False
1517.855685436875,2495.7788,9.166999999999916,0.3539006665696038,False
1517.8570743307696,2493.0095,-2.76929999999993,0.3367281405395517,False
1517.8584632244315,2505.0571,12.047599999999875,0.3580449305778951,False
1517.8598521183249,2493.512,-11.54509999999982,0.32410256528302067,False
1517.8612410122178,2495.7156,2.203599999999824,0.34388255645527455,False
1517.8626299061116,2503.9771,8.26150000000007,0.35259794107508624,False
1517.8640188000063,2491.3264,-12.650700000000143,0.3225119597537669,False
1517.8654076939,2484.0027,-7.323699999999917,0.3301758125525482,False
1517.866796587561,2482.8352,-1.1675000000000182,0.3390326194982689,False
1517.8681854814552,2483.4817,0.6464999999998327,0.341642386529804,False
1517.8695743753483,2491.0046,7.522900000000391,0.3515353314116402,False
1517.870963269242,2498.3794,7.3747999999995955,0.3513222627802331,False
1517.8723521631368,2491.1807,-7.198699999999917,0.3303556476567058,False
1517.8737410570309,2505.4087,14.228000000000065,0.3611818302667375,False
1517.875129950924,2517.4766,12.067900000000009,0.35807413579881053,False
1517.8765188445857,2495.4949,-21.98169999999982,0.30908762889860975,False
1517.8779077384802,2502.6743,7.179399999999987,0.35104114454541446,False
1517.8792966323736,2492.4773,-10.197000000000116,0.3260420509143393,False
1517.8806855262665,2501.3633,8.885999999999967,0.3534963972554575,False
1517.8820744201605,2484.7288,-16.634500000000116,0.31678054305022213,False
1517.883463314055,2488.0061,3.2773000000001957,0.3454272680659473,False
1517.8848522079488,2509.6724,21.666299999999865,0.3718831699087819,False
1517.8862411018426,2499.6548,-10.01760000000013,0.32630015025582626,False
1517.887629995504,2500.0005,0.3457000000003063,0.3412096313351598,False
1517.889018889397,2520.4412,20.440700000000106,0.3701199226795377,False
1517.8904077832908,2500.9487,-19.49250000000029,0.3126687932287622,False
1517.8917966771855,2502.8105,1.8618000000001302,0.3433908153464664,False
1517.8931855710794,2482.7104,-20.10010000000011,0.3117946507544731,False
1517.8945744649727,2488.3914,5.68100000000004,0.3488854251848564,False
1517.8959633588672,2512.2756,23.884199999999964,0.3750740201288715,False
1517.8973522527615,2519.375,7.09940000000006,0.3509260500787537,False
1517.898741146655,2526.6965,7.3215000000000146,0.3512455810918209,False
1517.900130040316,2512.9531,-13.743399999999838,0.32093991320726317,False
1517.90151893421,2501.085,-11.86810000000014,0.3236378713738769,False
1517.9029078281037,2510.0513,8.966300000000047,0.3536119233263685,False
1517.9042967219975,2513.7048,3.6534999999998945,0.34596849979541966,False
1517.9056856158916,2500.7549,-12.94990000000007,0.32208150644845535,False
1517.9070745097856,2520.4783,19.72340000000031,0.3690879569178399,False
1517.9084634036783,2529.4241,8.945799999999963,0.35358243036928655,False
1517.9098522975733,2511.4548,-17.969300000000203,0.3148601918739853,False
1517.911241191468,2503.1418,-8.313000000000102,0.32875252560420287,False
1517.912630085361,2523.2776,20.135800000000017,0.3696812688934763,False
1517.9140189792545,2516.4958,-6.781799999999748,0.3309554336960925,False
1517.9154078731488,2514.4983,-1.9974999999999454,0.33783851440666246,False
1517.9167967668104,2527.3604,12.862099999999828,0.35921673611658606,False
1517.9181856607038,2519.5879,-7.772500000000036,0.32953013259458047,False
1517.9195745545976,2517.5593,-2.0286000000000968,0.3377937714327478,False
1517.9209634484914,2508.6062,-8.953099999999722,0.3278316260028331,False
1517.9223523423852,2522.0303,13.424099999999726,0.36002527474487855,False
1517.923741236279,2512.6602,-9.370100000000093,0.3272316960953628,False
1517.925130130173,2529.033,16.372800000000097,0.3642675129179156,False
1517.9265190240671,2510.3564,-18.67659999999978,0.3138426129206205,False
1517.92790791796,2526.4062,16.049799999999777,0.3638028190087718,False
1517.9292968118548,2533.1819,6.775700000000143,0.35046034909302726,False
1517.9306857057495,2522.4692,-10.71270000000004,0.3253001232086267,False
1517.9320745996424,2503.4373,-19.03189999999995,0.31333144962056264,False
1517.9334634935358,2493.1382,-10.29910000000018,0.32589516160126325,False
1517.9348523874305,2516.3193,23.181100000000242,0.3740624836350061,False
1517.936241281092,2509.7859,-6.533400000000256,0.3313128020150738,False
1517.937630174985,2531.4736,21.68769999999995,0.3719139576786138,False
1517.9390190688791,2515.3335,-16.14009999999962,0.31749182685418703,False
1517.940407962773,2504.8523,-10.481200000000172,0.32563317782152645,False
1517.9417968566668,2509.2087,4.3564000000001215,0.3469797485531191,False
1517.944574644455,2503.8289,-5.379800000000159,0.3329724642243237,False
1517.945963538349,2513.5481,9.7192,0.3546951061257306,False
1517.9473524322416,2491.4873,-22.0608000000002,0.3089738292446983,False
1517.9487413261363,2505.2625,13.77520000000004,0.3605303955854369,False
1517.950130220031,2525.1733,19.91080000000011,0.3693575657059927,False
1517.951519113924,2514.168,-11.005299999999806,0.3248791651968149,False
1517.952908007818,2496.7173,-17.450700000000325,0.31560629175411425,False
1517.9542969017125,2494.6353,-2.08199999999988,0.337716945876252,False
1517.9556857956063,2491.2039,-3.4313999999999396,0.33577558995984963,False
1517.9570746894997,2499.7734,8.569500000000062,0.3530410547717306,False
1517.958463583161,2504.5129,4.739500000000135,0.34753090718034135,False
1517.9598524770545,2507.28,2.7671000000000276,0.34469325310481735,False
